cod,numero_caso,descripcion,area_resolutor,estado
5,134,La Srta. Larissa Rojas desea la devolución de sus S/10.00 abonados  // se le indicó que el monto mínimo para jugar es de S/100.00 . Sin embargo no desea completar // solo desea que se le devuelva los S/10.00 Soles. Ya se realizó la validación de su DNI y,FINANZAS,CERRADO
18,147,la cliente realizó todos los pasos para la recarga por safetypay de su app bcp ayer por la noche. indica que el monto fue descontado de su cuenta pero no se visualiza en su cuenta del casino online. ,FINANZAS,CERRADO
55,184, No le cargan los juegos mencionados // no le arroja mensaje de error // solo no le sale nada se adjunta pantallazos  * Se ingresa reclamo recié // el día de hoy ya que el sistema no permitía cargar las fotos // el reclamo fue el día de ayer a su ejecutiva Mercedes Pachas.,OPERACIONES TI,CERRADO
56,185,Realizó 1 depósito el día de ayer a las 11 de la mañana y aún no lo ve reflejado en su cuenta // plataforma indica 24 horas para realizar abono por retiro a su cuenta(banco interbank). Caso se deriva al área de control y gestión.,FINANZAS,CERRADO
64,193,Invitada envío correo indicando que desea que le eliminen la Cuenta ya que no está conforme con el bono brindado. El bono entregado aún se mantiene en la cuenta del invitado. Alias: AhmgS200,DEPORTES,CERRADO
65,194,Invitada indica que casi todos los juegos no puede ingresar solo ingresa en 1 se adjunta fotos y cuando está realizando juego continuo le sale el mensaje que su sesión ha caducado // no tiene wifi utiliza datos móviles tiene internet ilimitado de movistar // tiene equipo SAMSUNG S10. Todos loa casos se le pasó a Henry le dimos varias alternativas y ninguna funciona.,OPERACIONES TI,CERRADO
66,195,invitado con alias Christian / // se le realizó registro al invitado con su autorización //  pero  para ingresar desde su celular LG y cambiar la clave no puede ingresar cada vez que presiona el muñequito no carga la pantalla para iniciar sesión. así mismo se intento con datos y wifi se limpio historial y aún no le permite celular ( invitado no sabe hacer captura de pantalla),OPERACIONES TI,CERRADO
67,196,Invitado alias henrrygc // se encuentra muy molesto indica que es una estafa el cobro de bonos // añade que ha obtenido ganancias con sus depósitos  y no puede retirarlos por ellos solicita que el casino no lo estafe con promociones engañosas a procedido a cancelar sus bonos y pide que la cuenta sea cancelada y espeta no recibir más llamadas del casino. fecha: 01-08-2020 nivel:4 ,DEPORTES,CERRADO
69,198,Usuario: holylucas  Invitado se molestó porque hcieron un retiro con la cuenta del Sr. Segundo Vera Alias Frank y se demoraron más de hora y media para que les llegue el depósito a su cuenta // su cuenta la cambiaron del Interbank al Continental para que sea más rápido el depósito porque son bien especiales. Tienen bien claro el horario y los días que no realizamos estas transacciones que son los domingos y feriados // hicieron 2 retiros 4 y 4:36pm. el dinero apareció a las 6pm.Indicaron que para depositar si estamos atrás pero cuando ellos quieren cobrar ahí si nos demoramos.,DEPORTES,CERRADO
70,199,Alias:Michael  Ciro Mendoza se molestó porque hcieron un retiro con la cuenta del Sr. Segundo Vera Alias Frank y se demoraron más de hora y media para que les llegue el depósito a su cuenta // su cuenta la cambiaron del Interbank al Continental para que sea más rápido el depósito porque son bien especiales. Tienen bien claro el horario y los días que no realizamos estas transacciones que son los domingos y feriados // hicieron 2 retiros 4 y 4:36pm. el dinero apareció a las 6pm.Indicaron que para depositar si estamos atrás pero cuando ellos quieren cobrar ahí si nos demoramos.,DEPORTES,CERRADO
71,200, Alias:Gringo  Ciro Mendoza se molestó porque hicieron dos retiros con la cuenta del Sr. Segundo Vera Alias Frank y se demoraron más de hora y media para que les llegue el depósito a su cuenta // su cuenta la cambiaron del Interbank al Continental para que sea más rápido el depósito porque son bien especiales. Tienen bien claro el horario y los días que no realizamos estas transacciones que son los domingos y feriados // hicieron 2 retiros 4 y 4:36pm. el dinero apareció a las 6pm.Indicaron que para depositar si estamos atrás pero cuando ellos quieren cobrar ahí si nos demoramos.,DEPORTES,CERRADO
72,201,Invitado solicita por medio de correo eliminar su cuenta porque por error registro moneda en dolares // y desea registrar otra cuenta en soles.   Alias: Paoces22  Motivo de Cierre: cambio de moneda,DEPORTES,CERRADO
94,223,El invitado por error se registró en dólares // desea eliminar la cuenta para volver a crearse en soles.  ,DEPORTES,CERRADO
97,226,Se le ofreció el bono promocional de S/350 pero no quiso recibirlo // pidió que evalúen su bono por todo lo que ha jugado en el casino físico // es amigo del Sr. Gustavo Simeon  y se enteró por él del bono de bienvenida // ya se registró e hizo el depósito pero solicita evalúen el monto de su bono. Sr. Juan Avendaño Nivel 5 Alias Juanbufa.,DEPORTES,CERRADO
98,227,Invitada indica que le anularon la apuesta sin ser solicitado en dos oportunidades.  juego: Ruleta en vivo  momento: 14:45 aproximadamente  Alias: alici67 Navegador: Chrome Equipo: Laptop  Moneda: Soles Fecha: 05/08/2020,OPERACIONES TI,CERRADO
103,232, Invitada indica que desea registrarse pero no le aprecia la pantalla completa en su PC e indica que no le aparece la opción de subir o bajar en la página // al igual que en su celular SANSUNG 5 // que quiso ver el video y tampoco se puede.,OPERACIONES TI,CERRADO
105,234,No se le activó la promoción de bienvenida //  la semana pasada // realizó su primer depósito y se le había ofrecido el premio ya que aparecía en nivel 7. Esposo de Invitada Angela Mariño,DEPORTES,CERRADO
106,235,CLIENTE INDICA QUE JUEGOS SE DEMORAN EN CARGAR // EL JUEGA EN OTRAS PLATAFORMAS COMO EN INKABET Y NO SE DEMORAN LOS JUEGOS // TAMBIÉN INDICA QUE SU CELULAR ES DE ULTIMA GENERACIÓN.  INDICA QUE EN EL JUEGO JADE TIGER ESTABA JUGANDO DE 5 SOLES EL TIRO Y DERREPENTE SE DISPARO A 150 SOLES,OPERACIONES TI,CERRADO
111,240,Invitado se contacta indicando que el monto de su abono aun no se ve figurado en su cuenta por lo que se le solicita nos haga llegar la constancia del tramite.  CTA BANCARIA: 194-93437745-0-58 FECHA: 09/08/2020 BANCO: BCP ALIAS: LEON MONTO: S/100.00,FINANZAS,CERRADO
117,246,SE INGRESO RECLAMO DE LA INVITADA POR EL CIERRE DE CUENTA YA QUE NO ESTABA DE ACUERDO CON EL BONO ASIGNADO // YA QUE ES AMIGA DE DANAE MULLER Y FUE X ELLA QUE SE ENTERO DEL MONTO DEL BONO ASIGNADO // A ELLA LE DIERON EL BONO NIVEL 4 // CABE RECALCAR QUE SU AMIGA LA TRAJO DEL GOLDEN // AMBAS JUEGAN MUY BIEN EN VERSAILLES EN LAS MAQUINAS DE CARRETE DE $5 Y $1. EL RECLAMO YA FUE CERRADO Y NO SE LE HA DADO RESPUESTA. POR FAVOR REEVALUAR LO SOLICTADO YA QUE LA INVITADA ESTA ESPERANDO RESPUESTA DEL BONO DE BIENVENIDA. MIL GRACIAS.,DEPORTES,CERRADO
121,250,*ALIAS: SILVIA5 *PÁGINA: Chrome *FECHA Y HORA DE OCURRENCIA: Lunes 10/08 - 10:00pm WIFI / DATOS CELULAR: DATOS  *TIPO DE NAVEGADOR: INTENTO CON INTERNET EXPLORER Y CHROME *IMAGEN O MENSAJE DE ERROR: Indica que se para "lageando" los juegos  *invitada indica que cuando entra a los juegos la pagina esta muy lenta // se demora en abrir los juegos // ya intento entrar en dos diferentes navegadores // intento apagar su movil pero sigue con el mismo problema,OPERACIONES TI,CERRADO
123,252,SE SOLICITA LA CANCELACIÓN DE CUENTA // POR ERROR EN LA SELECCIÓN DE MONEDA Y EL CÓDIGO DE  BONO ES EN SOLES.,DEPORTES,CERRADO
130,259,Alias: Grace  Invitada indica que realizo una apuesta de 100 soles en el juego Booming Seven Deluxe pero cuando hizo el tiro daba vueltas por un buen tiempo y no paraba . Indica que la maquina esta malograda y se le descontó 100 soles  // luego probó apostando 10 soles en el juego Booming Bananas y le salió el mismo error . Invitada desea la devoluciónde  los 110 soles que apostó ya que menciona las maquinas de los juegos no están funcionando. Adjunta vídeos de los errores ,OPERACIONES TI,CERRADO
146,275,Cliente indica que cuando ingresa a jugar no le carga los juegos // o la saca del juego cuando esta jugando // indica que esto se puede prestar a suspicacias.  Tambien menciona que habian 2 juegos más a los cuales no les puedo tomar la foto,OPERACIONES TI,CERRADO
148,277,Invitada indica que no puede realizar el retiro de su dinero // aún le sigue saliendo que tiene documentos pendientes pero en Alira se ven que están aprobados su DNi y Doc. bancario.  ,OPERACIONES TI,CERRADO
150,279,EL BONO DE BIENVENIDA Y EL BONO SORTEO ELECTRONICO APARECE CON ERROR. ,DEPORTES,CERRADO
151,280,Cliente indica haber elegido cuenta en dolares para su registro por el cual se le brindo el código en dolares a petición de invitado // luego verificando en Alira el cliente había elegido cuenta en soles y ahora no desea darle de baja a la cuenta // solo quiere mantener la cuenta y que se le brinde el código para que pueda jugar.,DEPORTES,CERRADO
153,282, Alias: Gloriapineda57   INVITADA EN MENCION ES GANADORA DE 2 SORTEOS ELECTRONICOS POR EL MISMO MONTO DEL PREMIO DE 100 SOLES UNO CON FECHA 07 Y 13/08 CUANDO ME COMUNICA CON ELLA ESTE LUNES PARA PREGUNTARLE SI ESTABA BIEN // PORQUE NO HABIA RECIBIDO RESPUESTA DEL PRIMER PREMIO Y NO HABIA CONTETADO MI LLAMADAS // ME DIJO QUE HABIA PERDIDO MUCHO Y QUE NO PUDO CARGAR SUS DOCUMENTOS Y NO RECIBIO LA AYUDA ADECUADA // LE DIJE QUE YO LA AYUDABA CON LA CARGA DE SUS DOCUMENTOS Y QUE TENIA LOS 2 PREMIOS PENDIENTE // CUANDO REALICE EL CANJE SOLO SALIA UN CODIGO MAS NO EL ANTERIOR // LE DIJE A LA INVITADA QUE VAYA DISFRUTANDO DE ESTE PREMIO Y QUE LE ENVIARIA EL OTRO // LO HE CANALIZADO POR TODOS LOS MEDIOS PERO AL NO OBTENER RESPUESTA Y SOLUCION LO ESTOY PRESENTANDO COMO RECLAMO.,DEPORTES,CERRADO
154,283, Alias: Buho EL INVITADO EN MENCIO GANA UN SORTEO EL 10/08 // EL 13 SE CIMUNICA CONMIGO PARA PEDIRME EL CODIGO DEL PREMIO // CUANDO VOY A SACARLO DEL SISTEMA NO FIGURA // INFORME LO SUCEDIO IGUAL QUE EL CASO DE LA SRA. GLORIA PINEDO SIN RESPUESTA. ME INDICA jOSE DE SOL QUE LOS CODIGOS FUERON ELIMINADOS.,DEPORTES,CERRADO
159,288,Alias:Becha /Dia: 16/08/2020 / Hora:19:49  Invitada se queja porque ha realizado un transferencia por Interbank S/300 y no ha ingresado a su cuenta. Ella indica que no se fijo en la pagina // que donde esta nuestro prestigio // que es una pésima atención // que ella puede ir a indecopi y que quiere conversar con el Sr. Machi. Se le indican los horarios para este tipo de operaciones  // de igual manera por ello las indicaciones están dispuestas en nuestra pagina // para que sean consideradas antes de realizar cualquier transacción. Y que se esta derivando al área correspondiente y que su abono ingresara el día de mañana a su cuenta // tal lo señalado también en nuestra pagina.,FINANZAS,CERRADO
165,294,CLIENTE NO HIZO USO DE SU BONO DE BIENVENIDA POR FALLAS DE INTERNET  // ME INDICA QUE SI POR FAVOR PODEMOS AYUDARLO YA QUE EL DESEA PRIMERO PROBAR LA PLATAFORMA CON EL BONO PARA LUEGO DEPOSITAR.,DEPORTES,CERRADO
167,296,*NOMBRE DEL JUEGO: GOLDEN OX *MOMENTO QUE OCURRIÓ EL PROBLEMA: Cuando ingresa al juego *ALIAS:Maggy01 *WIFI / DATOS CELULAR: WIFI *MODELO Y MARCA CELULAR: Desde Computadora *TIPO DE NAVEGADOR: Chrome *MONEDA: soles *FECHA Y HORA: 17/08 21:33 *IMAGEN O MENSAJE DEL ERROR: se Adjunta  Invitada indica que no puede entrar a ese juego // le permite ingresar a otros juegos pero al Juego Golden Ox no // indica que por ratos entra al juego y luego le sale error  ,OPERACIONES TI,CERRADO
170,299, Alias: Mifoxy1  A LA INVITADA SE LE AFILIO EL 31 DE JULIO Y SE LE INDICO LAS CONDICIONES DEL BONO DE BIENVENIDA // AL REENVIARLE LA PROMOCION DUPLICA TUS DEPOSITOS // ME ESCRIBIÓ  QUE EL BONO SE LE HABIA VENCIDO Y QUE NO HABIA PODIDO JUGAR // SI SE PODIA HACER ALGO.,DEPORTES,CERRADO
171,300,ALIAS :Eliyjose  // solicita cierre de cuenta en dolares  // aduce que por error su hermano creo la cuenta en un tipo de moneda que ella no quiere  // soliicita por favor dar de baja esta para poder crearse una cuenta en soles ,DEPORTES,CERRADO
172,301,INVITADA INDICA QUE POR MOTIVOS DE SALUD DE UN FAMILIAR NO PUDO REALIZAR JUEGO EN LA PLATAFORMA A PESAR DE HABER REALIZADO SU REGISTRO Y DESCARGA DE BONO PROMOCIONAL // YA QUE EL MISMO EXPIRO DESPUES DE UNA SEMANA. SOLICITA PUEDAN ACTIVAR LA VIGENCIA DEL MISMO PARA QUE PUEDA UTILIZAR SU PREMIO DE 700 SOLES.,DEPORTES,CERRADO
179,308,CODIGO PROMOCIONAL :  PEN-BCN6PEN###178ccd *FECHA DE OCURRENCIA : 19/08/2020 *NIVEL 6 *PANTALLAZO DE ERROR : *ALIAS : Desi  Invitada indica que le brindaron un bono de bienvenida // se ayuda con su registro y se ingresa el bono que le brindaron pero nos figura inválido. Solo se registra a invitada queda pendiente BONO DE BIENVENIDA. ,DEPORTES,CERRADO
181,310,CLIENTE INDICA QUE JUGO UNA SOLA VEZ EL BONO DE BIENVENIDA QUE SE LE OTORGO PORQUE FALLO SU INTERNET Y ELLA SE ENCONTRABA DE VIAJE // AL VENIR DE VIAJE YA NO TENIA EL BONO Y ELLA AUN NO LO HABIA CONSUMIDO. Promo Bienvenida-PEN-BCN5PEN###59c6be POR s/ 350.00  ALIAS: INMACULADA1 ,DEPORTES,CERRADO
182,311,cliente indica que su bono de bienvenida que se le otorgo tuvo fallas ya que no le permitio jugar con el  // y cuando volvio entrar a la plataforma ya no estaba el bono ya que se habia vencido.  Promo Bienvenida-USD-BCN3USD###13bcaa por $200.00  alias: massimo,DEPORTES,CERRADO
185,314,Alias: Buho  ESTIMADOS BUENOS DIAS // EL CODIGO QUE ME BRINDO PABLO DEL SORTEO ELECTRONICO DEL INVITADO ERA EL MISMO QUE SE LE DIO DE BIENVENIDA DEL N2 BCN2PEN###214faf // LAMENTABLEMENTE NO ME PERCATE DEL ERROR Y YA SE LO HABIA ENVIADO AL INVITADO // QUE VERGUENZA NUEVAMENTE LE PEDI LAS DISCULPAS DEL CASO Y QUE HOY DIA LE ESTARIA ENVIANDO EL CODIGO CORRECTO PREMIO DEL SORTEO ELECTRONICO DE 300 SOLES DEL 10/08.,DEPORTES - OPERACIONES TI,CERRADO
202,331,Alias: Marthanike123 NIVEL 2 ESTIMADOS BUENAS TARDES // LA INVITADA ACTIVA EL BONO EL 06/08 REALIZA JUEGO CONTINUO HASTA EL 11 COMO INDICA LAS FOTOS // LA INVITADA ESTUVO ENFERMA DE LOS BRONQUIOS Y CUANDO ENTRÓ YA SE LE HABIA VENCIDO EL 13 // LA INVITADA SOLICITA SI SE LE PUEDE CONSIDERAR POR SU ESTADO DE SALUD Y POR LO QUE ES CLIENTA DE AÑOS Y ESTE 31 ES SU CUMPLEAÑOS. ,DEPORTES,CERRADO
203,332,Alias: bandido67 *MOTIVO DE CIERRE: Perdió mucho dinero  Invitado indica que desea desafiliarse porque ha perdido 1500 soles por nada // se indica que los premios son al alzar // que pruebe jugando nuestros mas de 200 juegos (Se verifica que solo juega mesas) ademas indica que a otros invitados le han dado bono y a el no // ya no quiere nada con la pagina e indica que no enviara ningún correo para indicar motivo de cierre. ,DEPORTES,CERRADO
207,336,Alias:jlestrada  Invitado solicito su código bienvenida // al ingresar a Alira en balance me figuraba la moneda dolar ($). De igual manera le respondí que le generaría su código de acuerdo la moneda con la que se había registrado // la cual la acompañaría en toda su estancia. Luego se ejecutiva se pone en contacto y me señala que su cuenta es en soles // y al volver a ingresar a Alira me di con la sorpresa que ahora aparecía soles.,DEPORTES,CERRADO
210,339,INVITADA NIVEL 4 NO TIENE BONO DE BIENVENIDA ASIGNADO // CARTERA MARIA CLAUDIA PORTAL. SE ADJUNTA CRM,DEPORTES,CERRADO
214,343,Invitada indica que el juego demora al cargar y sale un mensaje de error en el servidor. ALIAS: Rosy / JUEGO: SOUL QUEEN / Datos móviles / Samsung A10  / Google chrome  ,OPERACIONES TI,CERRADO
215,344,INVITADO DESEA ELIMINAR SU CUENTA EN SOLES PARA CREAR UNA EN DOLARES.,DEPORTES,CERRADO
217,346,Alias:Becha  Invitada señala que es clienta de años y quiere que le den un buen bono porque ya van 2 semanas en que solo pierde y deja su dinero. Que en otros casinos si gana y acá nada. Que se le haga presente al Sr. Machi,DEPORTES,CERRADO
219,348,MOTIVO DE CIERRE: Auto-exclusión de los juegos de azar. *ALIAS: CARHAB  Invitado solicita el cierre de su cuenta ,DEPORTES,CERRADO
220,349, Alias: ElgranAbe MODELO SAMSUNG GALAXY J2 POR DATOS DEL CELULAR Y TAMBIÉN POR WIFI FECHA 25/08 rango de hora: entre 7 a 8,OPERACIONES TI,CERRADO
221,350,NOMBRE DEL JUEGO SALSA BACCARAT 2 MOMENTO ERROR: YA NO SALE UN MENSAJE DICIENDO NO HEMOS PROCESADO TU JUGADA. JUSTO CUANDO VA A SER LA JUGADA GANADORA DONDE APUESTO MAS. TRECE BANCAS Y EN LA CUARTA BANCA LA JUGADA CUANDO VA A GANAR LO BOTA DEL SISTEM,OPERACIONES TI,CERRADO
222,351,Estimados // la invitada Esther Castañeda perdió su bono de bienvenida por encontrarse delicada de salud y recién se esta recuperando y desea que podamos activarle su bono de bienvenida // en verdad ella no pensaba enfermarse ya que nadie lo tiene planificado y la enfernedad es algo inesperado // por favor si fuera posible como una excepción reactivarle su bono y mantener este vinculo con nuestro invitado,DEPORTES,CERRADO
226,355, Cta bancaria: 0011-0267-0200001640 BBVA Fecha deposito: VARIOS MIRAR ADJUNTO. ALias: inauj MONTO: Varios // mirar adjunto.,FINANZAS,CERRADO
227,356,MOTIVO: INVITADO EN UNA PRIMERA INSTANCIA SOLICITO CIERRE DE CUENTA POR PERDIDA DE DINERO PERO AHORA COMUNICA QUE NO DESEA QUE SE LE CIERRE LA,DEPORTES,CERRADO
229,358, *MOTIVO DE CIERRE: CAMBIO DE MONEDA A SOLES *ALIAS: KattyIdda  *Invitada desea el cierre de su cuenta en dolares para crear una cuenta en soles // pues tiene problemas para hacer los depósitos en dolares // desea seguir jugando pero con moneda en Soles. ,DEPORTES,CERRADO
230,359,ID:2152 / Alias:Cholay123  (se adjunta foto de correo) Invitado solicita el cierre de su cuenta se valido su información e indico que envié su correo señalando el motivo. Sr. envió correo indicando que los juegos no son buenos y son manipulados. ,DEPORTES,CERRADO
233,362,Nombre de juego : BLACK JACK Mambo ilimitado. Momento en que ocurrió el problema: cuando está jugando y realiza una apuesta // el problema es intermitente a veces si lo deja jugar y cuando no le sale ese mensaje. Alias:Jrc1980 Wifi/ Datos de celular: Datos del celular Modelo y marca de celular: Huawei P20 Tipo de navegador: chrome  Moneda: soles Fecha y hora: 30/08/2020 desde las 6:30pm que estuvo jugando. Mensaje de error: Tú apuesta no ha sido aceptada // tu crédito no ha sido afectado.,OPERACIONES TI,CERRADO
239,368,usuario DiegoMendoza  Motivo del cierre: Bono inaccesibles de cobrar  Invitado solicita cierre de cuenta definitivo ,DEPORTES,CERRADO
240,369,MOTIVO DE CIERRE: CAMBIO DE MONEDA  *ALIAS: olse0530  Invitada crea cuenta en soles por error // desea cierre de cuenta // ya se le había entregado previamente su bono en dólares. ,DEPORTES,CERRADO
242,371,PANTALLAZO DEL DESCUENTO DE CUENTA BANCARIA: Se Adjunta en el reclamo *FECHA DE DEPÓSITO: 22/08 - 23/08 - 27/08 - 28/08 *BANCO Y PASARELA DE PAGO: 0011-0267-0200001640 BBVA  *ALIAS: inauj *MONTO: S/1200  Invitada indica que ya llamo a su banco y en efecto se realizaron los depósitos pero no se verifica en la cuenta del casino indica que fue por el día 22/08 y 23 por el monto de 800 soles y el día 27 y 28/08  por el monto de 400 soles REFERENCIA AL RECLAMO NRO 355 ,FINANZAS,CERRADO
245,374,Invitado // juega DIamond Inferno el día de ayer 31/08 a las 10:21pm (ENVIO ADJUNTO) y le sale el mensaje mostrado "No ah podido procesar su solicitud" Desea que podemos solucionar el problema presentado NOMBRE DEL JUEGO: Diamonds *MOMENTO QUE OCURRIÓ EL PROBLEMA: 31/08 // 10:21pm *ALIAS: Marcotipo *WIFI / DATOS CELULAR: DATOS CELULAR *MODELO Y MARCA CELULAR: -- Tipo de Navegador: Chrome Moneda: Soles ,OPERACIONES TI,CERRADO
246,375, *MOTIVO DE CIERRE: *ALIAS. Avefenix2020  Invitado solicita cierre de cuenta desea desvincularse de la empresa que eliminen su información de la  base de datos.  ,DEPORTES,CERRADO
247,376,Alias: JoseLuis1  LE ESTABA CREANDO LA CUENTA DEL INVITADO Y ESTABA EN LINEA PERO POR EL APURO PORQUE IBA A ENTRAR A UNA REUNION SE ME PASO LA MONEDA. PABLO ME AYUDA PARA QUE INVITADO NO ESPERE RESPUESTA Y SOLUCION. MIL GRACIAS.,DEPORTES,CERRADO
250,379,RECLAMO POR DEVOLUCIÓN DE DINERO Nombre:  Monto: s/200.00 Feha: 25/08 Motivo: Error de moneda al realizar transferencia Alias: Kikinvc Foto voucher: Invitado super incomodo no brinda   ,FINANZAS,CERRADO
254,383,Invitado requiere información sobre el monto que se le debitó de su Cuenta BCP a nombre de ATLANTIC CITY por el valor de  S/554.90 . Invitado indica que no realizó ningún depósito por ese monto.  Cuenta:1931  Monto: S/ 554.90 Fecha: 03/09 Alias:Calichin Imagen : VER ADJUNTO ,FINANZAS,CERRADO
258,387,*CODIGO PROMOCIONAL : SE100PEN###138d76 *FECHA DE OCURRENCIA: 4/09/2020 4:59pm *NIVEL DE CLIENTE: 6 *PANTALLAZO DE ERROR: ESTE CÓDIGO NO ES VÁLIDO *ALIAS : pulga  Reclamo: INVITADO INDICA QUE NO PUEDE CANJEAR SU CÓDIGO DE SORTEO ELECTRÓNICO SE VERIFICA EL CÓDIGO CORRECTO  // SE GUÍA PARA QUE INGRESE NUEVAMENTE EL CÓDIGO PERO LE SIGUE SALIENDO EL MISMO ERROR. INVITADO SOLICITA QUE REVISEN EL CÓDIGO O LE BRINDEN OTRO CÓDIGO YA QUE NO LO PUEDE CANJEAR.,DEPORTES,CERRADO
